product_title,product_image,pack_size,price_per_unit,price
Yopro Mango Yogurt Pouch 150g,https://www.aldi.com.au/fileadmin/_processed_/1/4/csm_ALN3662_1x1_SSV-NOV-B1_228x628_5_934b6191a4.jpg,150g,99c per 100g,1.49
Monarch Indulge Gourmet Ice Cream Cookies 4pk/560ml – Assorted Flavours,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN3662_1x1_SSV-NOV-B1_228x628_6_d8ae197a7b.jpg,ea,62c per 100ml,3.49
Indulge Gourmet Ice Cream 1L – Vanilla Bean,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_7_2027d400c9.jpg,1L,40c per 100ml,3.99
"Indulge Gourmet Ice Cream 1L – Coffee Mocha, Belgian Chocolate or White Choc Raspberry",https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_ALN3662_1x1_SSV-NOV-B1_228x628_8_c8d254514d.jpg,ea,40c per 100ml,3.99
Indulge Gourmet Ice Cream 1L – Cookies & Cream,https://www.aldi.com.au/fileadmin/_processed_/5/3/csm_ALN3662_1x1_SSV-NOV-B1_228x628_9_56a88ea20f.jpg,1L,40c per 100ml,3.99
Streets Family Classic Value Pack 20pk/1.75L,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_ALN3662_1x1_SSV-NOV-B1_228x628_10_e0484f86eb.jpg,20pk,97c per 100ml,16.99
Milfina Summer Delight 6pk/540ml – Caramel,https://www.aldi.com.au/fileadmin/_processed_/3/7/csm_ALN3662_1x1_SSV-NOV-B1_228x628_11_e6de4aae73.jpg,6pk,74c per 100ml,3.99
Emporium Selection Persian Fetta 180g,https://www.aldi.com.au/fileadmin/_processed_/1/5/csm_ALN3662_1x1_SSV-NOV-B1_228x628_12_9162bd29f3.jpg,180g,$16.61 per kg,2.99
Snackers Market Little Pickers Cubed Tasty Cheese & Pretzels 40g,https://www.aldi.com.au/fileadmin/_processed_/6/9/csm_ALN3662_1x1_SSV-NOV-B1_228x628_13_ffaa28cfb8.jpg,40g,$24.75 per kg,0.99
Westacre Snack ’n’ Go 40g/50g,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_14_47bb36f037.jpg,ea,$24.75/$19.80 per kg,0.99
Snackers Market Little Pickers Cubed Tasty Cheese & Mini Crackers 35g,https://www.aldi.com.au/fileadmin/_processed_/5/0/csm_ALN3662_1x1_SSV-NOV-B1_228x628_15_53a26d93bb.jpg,35g,$28.29 per kg,0.99
